time_from_event_s,filtered_strain
0.10048819,6.768820868040e-23
0.10122061,6.631254877739e-23
0.10219717,-4.652261433075e-24
0.10292959,-1.523934728275e-23
0.10366201,2.391228099185e-23
0.10439444,5.013393774468e-23
0.10512686,1.272080935587e-23
0.10585928,-6.628439763998e-23
0.1065917,-1.161657891077e-22
0.10732412,-9.043993232936e-23
0.10805655,-9.504670227064e-24
0.10878897,6.172225483681e-23
0.10952139,7.113650891195e-23
0.11025381,2.232967536670e-23
0.11098623,-2.986300455757e-23
0.11171865,-2.987789109143e-23
0.11269522,5.085336128944e-23
0.11342764,1.053752172071e-22
0.11416006,1.069177896476e-22
0.11489248,6.693981314973e-23
0.1156249,2.998593104889e-23
0.11635733,2.609989478218e-23
0.11708975,4.563918445548e-23
0.11782217,5.354283985142e-23
0.11855459,2.432253077309e-23
0.11928701,-3.436233139954e-23
0.12001944,-9.024965665024e-23
0.12075186,-1.183552279175e-22
0.12148428,-1.233079391840e-22
0.12246084,-1.277110345786e-22
0.12319326,-1.288284336407e-22
0.12392569,-1.050193349982e-22
0.12465811,-4.810309600306e-23
0.12539053,2.231425053202e-23
0.12612295,7.660625960252e-23
0.12685537,1.002387947250e-22
0.1275878,9.984056770017e-23
0.12832022,9.262616138383e-23
0.12905264,9.199086767632e-23
0.12978506,9.584033785373e-23
0.13051748,8.847861233882e-23
0.1312499,6.000626543492e-23
0.13198233,2.290473900542e-23
0.13295889,-2.932758961711e-24
0.13369131,-8.269430541837e-24
0.13442373,-3.047876225087e-23
0.13515615,-7.916963936585e-23
0.13588858,-1.298051415341e-22
0.136621,-1.481890216437e-22
0.13735342,-1.234356756765e-22
0.13808584,-7.265497013291e-23
0.13881826,-2.101779334478e-23
0.13955069,1.586389200096e-23
0.14028311,3.862484022301e-23
0.14101553,6.186258047301e-23
0.14174795,9.912525721892e-23
0.14248037,1.444227546612e-22
0.14345694,1.719343980048e-22
0.14418936,1.387169884140e-22
0.14492178,5.984738194454e-23
0.1456542,-4.148477197915e-23
0.14638662,-1.289816200528e-22
0.14711905,-1.668198399366e-22
0.14785147,-1.439621052956e-22
0.14858389,-8.969323863797e-23
0.14931631,-5.404839377947e-23
0.15004873,-6.142437898726e-23
0.15078115,-8.392574551418e-23
